# Voucher Tickets 1..128 for Roll 800
# Nr of Roll Bits     16
# Nr of Ticket Bits   10
# Nr of Checksum Bits 5
# magic initializer   1783 (32 Bits used)
# Character Set used  123456789ABCDEFGHJKMNPQRSTUVWXYZ
#
" P5FW1CG6ZS9U"
" ET21M56214S55"
" RTH39TD1W8MM4"
" 1FG7QHSU8DJDD"
" PHBTC6ZTVQ359"
" 6HF25JGGJKZEA"
" 12JK327YD3792"
" GZ99Q8462A938"
" JDABQ9VMVQ7KC"
" TPEKYC9RQP3B6"
" 5XRMG2UE47QJ6"
" SFZJEBU9FKCJE"
" 3H61Y25KUDMAA"
" EGKQDC3J98BB4"
" FA794GP2RTUJ2"
" ZVVCD1S9A8TG4"
" S5SKY9Z8S63ZA"
" U3F9GCPFPSDWA"
" S7S2RBB3RKQB7"
" HQKDYMTF7QUMF"
" 13G7UMP6CSR78"
" GEW6C92ZZ7QUF"
" VN5W784KVU3R9"
" 4F2HQ7NZ8CXBA"
" NC3XTWEZ1A6WD"
" FBTH1ZXSJGSX5"
" 11B2FZMEMJS7D"
" S991RJ92DAP74"
" QQ3ZE79UGH7AG"
" B8M7AUUNTZJ4"
" KCEH6K5UEYWCD"
" VFGN91XS8P7Y3"
" 7EME5Y83F7F76"
" JN9WWA3CW2G9G"
" 2QXX3VY1GTMEE"
" 1WFZZQE3DXZJG"
" UMEWPF1X9UXVC"
" 2AK9X383KTYB8"
" E2BTQC3VXJEM9"
" 8ACTUA3VC2KJ"
" SN4P6547KHP8F"
" JUDHXGPZETM53"
" 9H64MHWTRN266"
" BBNK1ZPQKASC9"
" PPPJBUCDX1ECG"
" JUAX12R8UA1HB"
" F6QT692NKNCWF"
" YF4B4FXF7XUT6"
" Y8NBRJPA84YS5"
" 6WP67QX97D1V9"
" 9WTZQ8QWNYX12"
" GZ3YDK6NPPTN2"
" 139T8JWNCP496"
" PVPFDYNF5BNK2"
" 5Z4BHDBTT4YA4"
" ZF6BVH22BAFW3"
" 2NGE7FBVKJJA2"
" S1HP45A9DB3FC"
" QDR7Z4Y6T42NE"
" S2PP2T25S2KXB"
" FZ5GFDBDGTQ5A"
" DMWZPT4GHT8R9"
" RXACR4QU768JG"
" MZBHV59Y3179E"
" C7716N4WWW5ED"
" K4HA3WQ2S8CS"
" RW224XPUJUUJ4"
" YRZPY5J7KUCC8"
" XH586UQEXAUJ9"
" 36AJAAM1YWBUB"
" PT7299HTRG242"
" ZFQF8YV2XB379"
" NFR8EM7CFABV2"
" TSM9P54U6NNGG"
" 44RP8G216EDHB"
" N5CPJASJM7QT9"
" 2VG3CT1RHR3QC"
" 4NVCXEB77KK73"
" MXGGRSZDNHNN3"
" C4456Q1VAHWFE"
" JAHRNMETNGCS5"
" 9UGQZYSD9ZQ8"
" FZBAAZE8BZG4A"
" JU8KW1XAFN14A"
" 4ABESTUET3CK3"
" X9Q6R4DVJW5T3"
" 46R3U8PR6V9N"
" HN5TBJ86QWF62"
" 6DQZS9F8PGP77"
" E34FFXZAVQSBA"
" NMWFD3HE73HG9"
" 7WMC9BZD174DA"
" 5SU815KU2B6PB"
" BHC7RUPAS8CVE"
" HRGSS9TGJCQC9"
" C26KQK16NTVY9"
" VFHDCVDRD8PVA"
" NVE9M9TZAQCZ6"
" XJJWCQP8Z1NY"
" K47AECJG6SB3B"
" FDDSHQ789DJS2"
" 7VC3KXMBY6DUE"
" VM44KDWCRZ7Z5"
" VY9TTU2HZK4XC"
" N4SKJMX9HS532"
" JMTK91M7AQK1C"
" 3CYH6FQHRRZVE"
" RCUZA3WECSZ74"
" AKAJXUWNHXQRB"
" 4QCTTKCB2AWU4"
" HVA2KF8Q5TKU5"
" E6BTGZ1Y121Z8"
" T1DVR1SPUG7Y"
" QW6HD633B9R55"
" MECUKQT49TAFG"
" FTDXCYUAUK4RD"
" 413N5P7P3SXFB"
" 42FESSCK222Z9"
" B8VZ6C78Y1QNA"
" 2DA6W2DV5FBXF"
" MUUHADU9TZUN3"
" 74SEBSX3J8VYA"
" SX4EDDG2SDBDC"
" 94XGJZ58Z7MZD"
" ZUSA7SP4CXXK"
" CS6HVX2FTHET"
" PTPVD5QESW97D"
" Q16UYVKEAPPWE"
